"Label","2-aminoadipic acid","2-hydroxyglutaric acid","2-hydroxyvaleric acid","3-phosphoglycerate","5'-deoxy-5'-methylthioadenosine","adenine","alanine","alpha ketoglutaric acid","arachidonic acid","asparagine","benzylalcohol","beta-alanine","citric acid","citrulline","creatinine","cytidine-5-monophosphate NIST","dodecanol","fumaric acid","glucose","glucuronic acid","glutamic acid","glutamine","glyceric acid","glycerol","glycerol-alpha-phosphate","glycerol-beta-phosphate","glycolic acid","hydroxylamine","hypoxanthine","idonic acid NIST","inosine 5'-monophosphate","malate","maltose","methanolphosphate","N-acetyl-D-mannosamine","N-methylalanine","nicotinamide","oxalic acid","p-hydroquinone","phosphoethanolamine","phosphoric acid","proline","pseudo uridine","pyrazine 2,5-dihydroxy  NIST","serine","threonic acid","tocopherol beta NIST","trehalose","uracil","urea","uridine-5'-monophosphate","xanthine"
0,9.887773,14.254243,13.85312,10.973415,12.042326,12.759966,18.939013,8.571759,13.509361,14.790928,12.440778,14.423395,14.41039,12.202308,15.863077,15.044949,10.461498,14.055795,12.761584,9.144649,18.71722,12.736758,12.772056,16.682124,17.000748,11.206405,11.695787,14.128823,16.554416,9.795322,9.091896,14.929111,11.695787,13.448723,8.860521,14.49614,15.129554,17.662756,9.051319,18.897134,19.971964,18.129654,11.165167,14.859472,17.190028,13.571759,8.853795,10.65265,16.911589,18.25995,7.972794,9.812767
0,9.357585,12.831588,14.344366,8.939486,9.585357,11.490214,18.914302,9.942887,14.008926,14.911588,11.984086,12.456458,13.956204,11.808371,17.374145,16.414155,10.548317,14.357043,14.275344,8.627401,19.611716,11.287603,13.630146,15.980573,16.781548,10.821736,12.099995,12.591005,16.842477,8.51305,11.636883,14.307169,12.215601,14.754532,10.356055,14.976035,15.275074,17.758235,9.294011,18.560778,20.063229,17.578986,10.535756,15.940698,17.179995,13.862767,8.458955,10.871138,16.606049,17.707107,7.449419,7.824689
0,9.599194,14.848338,15.903681,12.032305,10.228345,11.298692,18.870171,8.948865,13.174835,14.303812,12.984697,13.154275,14.969623,11.145107,17.001963,14.86225,9.805373,14.490958,13.157279,8.595109,18.823009,13.933443,12.382061,16.927609,16.178281,10.100654,12.077904,13.913351,15.558164,9.253618,10.798284,15.427233,12.635282,14.235525,7.542339,15.595514,13.890824,17.257843,9.610031,18.009405,20.008441,19.085154,10.6447,13.260727,17.042294,12.605131,8.53667,11.368563,15.194488,18.802417,8.542339,10.844328
0,9.910434,13.993919,13.994267,11.54925,9.389455,11.636043,18.059958,8.606126,13.701721,14.884159,12.401968,12.07989,13.992674,10.966725,17.152251,15.866848,9.734694,14.134439,9.678301,8.776977,19.159028,11.484947,13.65336,16.157917,18.224145,11.275441,11.188654,12.841158,16.729058,10.012275,8.388243,14.887754,11.824118,15.09953,8.26953,14.409902,15.075473,13.528706,8.466118,17.789177,20.368158,17.517738,10.881012,15.45464,16.95121,14.186651,9.172906,9.986881,16.523403,18.891581,8.847454,9.663351
0,10.534708,15.641759,15.700513,10.643879,9.864547,10.761344,18.686816,12.813485,13.890748,14.488304,12.87413,13.302574,15.594178,11.458684,15.684403,14.890566,10.040704,13.990247,13.177275,9.477827,19.554477,12.719703,13.221834,16.857968,17.700569,11.1732,12.370986,14.605193,16.317914,10.204701,13.24285,14.673732,13.642514,13.529275,8.349833,14.037646,14.468936,17.668314,9.572628,17.927774,19.228746,18.744806,10.699667,15.112085,17.373641,13.502276,10.859608,12.005363,16.915433,18.176629,7.750712,9.642154
0,9.050831,14.131952,15.431311,12.171046,9.278636,11.145719,18.170938,9.671211,13.748225,14.418686,13.820987,13.695825,14.77127,10.719778,15.727252,12.794661,10.662955,13.157336,13.568189,8.921844,18.464649,14.588356,12.360367,17.592513,17.779154,11.218645,13.101348,15.857903,15.880776,7.669152,8.422512,14.329728,13.8728,13.74138,8.112758,13.22339,14.177127,17.14884,9.93904,18.242507,21.319184,17.080251,10.026905,13.77205,16.451279,12.640005,10.873471,12.164847,15.079124,18.301939,7.932186,9.154579
0,10.31664,12.950574,14.904066,12.182503,9.571411,10.92881,18.400189,8.827312,13.870495,14.657396,13.13104,13.995484,14.947342,11.780559,15.284974,12.670423,10.663225,13.30602,16.057813,10.118634,17.952003,15.848175,13.079881,18.158791,16.092377,10.164304,12.762387,14.976289,15.65832,9.327089,7.49271,14.306822,14.068417,13.49387,8.999572,13.772116,12.890951,16.701447,9.335985,18.371863,20.286953,18.474228,11.207764,13.640738,17.382209,13.486565,9.382528,12.299118,15.009222,19.438236,6.864679,9.755082
0,9.035628,13.959132,16.119484,12.372403,9.979044,10.54195,18.254719,9.580495,12.324264,14.041594,13.680096,13.802653,15.558607,11.238758,16.711126,12.354107,12.057936,12.794337,13.459844,9.215299,18.186459,16.395208,13.677799,16.460156,16.665487,10.539253,13.219306,15.863473,15.498794,9.313257,8.039449,13.670732,12.561683,13.345258,7.771828,15.160201,13.380335,17.51221,10.425574,16.551223,21.023454,17.761362,11.496102,13.011996,16.595722,14.28043,9.463049,10.707227,15.358608,20.097688,7.585731,10.133632
0,9.149726,14.200694,16.404402,12.703709,8.686479,11.305585,17.853054,8.870344,13.166142,14.221143,12.956645,13.314675,15.261721,12.075191,16.469175,14.92583,11.001668,13.654436,14.991749,9.581933,18.651159,15.27988,13.054312,16.946127,15.626715,9.339829,12.37567,15.381819,16.449192,9.179888,9.758868,14.516171,12.836345,13.917575,10.49823,15.083192,15.022693,17.938952,10.140553,19.125953,19.366154,16.78833,10.727899,11.37023,17.65429,13.273774,8.263013,11.65354,16.430092,19.016263,8.035603,10.099064
0,8.270901,14.863263,15.868411,10.688219,9.924222,11.016969,17.118077,9.033209,12.868364,15.126597,14.227893,14.03001,14.445005,10.9444,16.569181,13.181136,11.285663,12.786501,14.167712,9.176574,17.503125,14.785303,13.290738,17.036213,16.656654,11.552083,15.067372,16.37296,14.900903,8.086061,9.363725,13.138297,12.20074,13.569819,8.186289,14.927122,11.530316,17.121385,10.950114,17.388429,21.479572,15.900903,10.502396,13.44589,16.177754,12.522189,9.761536,10.456968,14.964211,17.690541,8.233907,8.755023
